RackNo;Title;Publisher;Genre;ReturnDay;ReturnMonth
0;Deceiver, The;;fiction;0;0
0;Veil: Secret Wars of the CIA;;nonfiction;0;0
0;Char Shabda;;nonfiction;0;0
0;Rosy is My Relative;;fiction;0;0
0;Moon and Sixpence, The;;fiction;0;0
0;Political Philosophers;;philosophy;0;0
0;Short History of the World, A;;nonfiction;0;0
0;Trembling of a Leaf, The;;fiction;0;0
0;Doctor on the Brain;;fiction;0;0
0;Simpsons & Their Mathematical Secrets;;science;0;0
0;Pattern Classification;;tech;0;0
0;From Beirut to Jerusalem;;nonfiction;0;0
0;Code Book, The;;science;0;0
0;Age of the Warrior, The;;nonfiction;0;0
0;Final Crisis;;fiction;0;0
0;Killing Joke, The;;fiction;0;0
0;Flashpoint;;fiction;0;0
0;Batman Earth One;;fiction;0;0
0;Crisis on Infinite Earths;;fiction;0;0
0;Numbers Behind Numb3rs, The;;science;0;0
0;Superman Earth One - 1;;fiction;0;0
0;Superman Earth One - 2;;fiction;0;0
0;Justice League: Throne of Atlantis;;fiction;0;0
0;Justice League: The Villain's Journey;;fiction;0;0
0;Death of Superman, The;;fiction;0;0
0;History of the DC Universe;;fiction;0;0
0;Batman: The Long Halloween;;fiction;0;0
0;Life in Letters, A;;nonfiction;0;0
0;Information, The;;science;0;0
0;Journal of Economics, vol 106 No 3;;science;0;0
0;Elements of Information Theory;;tech;0;0
0;Power Electronics - Rashid;;tech;0;0
0;Power Electronics - Mohan;;tech;0;0
0;Neural Networks;;tech;0;0
0;Grapes of Wrath, The;;fiction;0;0
0;Vyakti ani Valli;;nonfiction;0;0
0;Statistical Learning Theory;;tech;0;0
0;Empire of the Mughal - The Tainted Throne;;nonfiction;0;0
0;Empire of the Mughal - Brothers at War;;nonfiction;0;0
0;Empire of the Mughal - Ruler of the World;;nonfiction;0;0
0;Empire of the Mughal - The Serpent's Tooth;;nonfiction;0;0
0;Empire of the Mughal - Raiders from the North;;nonfiction;0;0
0;Mossad;;nonfiction;0;0
0;Jim Corbett Omnibus;;nonfiction;0;0
0;20000 Leagues Under the Sea;;fiction;0;0
0;Batatyachi Chal;;fiction;0;0
0;Hafasavnuk;;fiction;0;0
0;Urlasurla;;fiction;0;0
0;Pointers in C;;tech;0;0
0;Cathedral and the Bazaar, The;;tech;0;0
0;Design with OpAmps;;tech;0;0
0;Think Complexity;;tech;0;0
0;Devil's Advocate, The;;fiction;0;0
0;Ayn Rand Answers;;philosophy;0;0
0;Philosophy: Who Needs It;;philosophy;0;0
0;World's Great Thinkers, The;;science;0;0
0;Data Analysis with Open Source Tools;;tech;0;0
0;Broca's Brain;;science;0;0
0;Men of Mathematics;;science;0;0
0;Oxford book of Modern Science Writing;;science;0;0
0;Justice, Judiciary and Democracy;;nonfiction;0;0
0;Arthashastra, The;;philosophy;0;0
0;We the People;;philosophy;0;0
0;We the Nation;;philosophy;0;0
0;Courtroom Genius, The;;nonfiction;0;0
0;Dongri to Dubai;;nonfiction;0;0
0;History of England, Foundation;;nonfiction;0;0
0;City of Djinns;;nonfiction;0;0
0;India's Legal System;;nonfiction;0;0
0;More Tears to Cry;;fiction;0;0
0;Ropemaker, The;;fiction;0;0
0;Angels & Demons;;fiction;0;0
0;Judge, The;;fiction;0;0
0;Attorney, The;;fiction;0;0
0;Prince, The;;fiction;0;0
0;Eyeless in Gaza;;fiction;0;0
0;Tales of Beedle the Bard;;fiction;0;0
0;Girl with the Dragon Tattoo;;fiction;0;0
0;Girl who kicked the Hornet's Nest;;fiction;0;0
0;Girl who played with Fire;;fiction;0;0
0;Batman Handbook;;fiction;0;0
0;Murphy's Law;;philosophy;0;0
0;Structure and Randomness;;science;0;0
0;Image Processing with MATLAB;;tech;0;0
0;Animal Farm;;fiction;0;0
0;Idiot, The;;fiction;0;0
0;Christmas Carol, A;;fiction;0;0
